"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,13.34021541,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,14.02292496,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,14.12268415,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,13.58832716,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,13.26397391,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,13.95590335,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,14.83365774,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,15.11525791,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,14.53940126,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,14.50076917,,
"FRA","France","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,14.43788175,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,19.8010215,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,18.08866581,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,15.72852841,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,13.94816079,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,12.49421113,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,7.791286154,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,7.908967435,,
"IRL","Ireland","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,8.344260092,,
