"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,520,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,521,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,521,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,508,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,571,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,565,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,572,,
"FIN","Finland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,563,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,548,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,554,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,542,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2003","2003","AVSCORE","Average score","0","Units",,,541,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,543,,
"FIN","Finland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,539,,
"FIN","Finland","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,562,,
"FIN","Finland","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,546,,
"FIN","Finland","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2006","2006","AVSCORE","Average score","0","Units",,,565,,
"FIN","Finland","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2009","2009","AVSCORE","Average score","0","Units",,,562,,
"FRA","France","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2000","2000","AVSCORE","Average score","0","Units",,,490,,
